Timestamp,Which course are you enrolled in?,What is your major?,"To the nearest half hour, how many hours of sleep did you get last night?",How many miles is your home address from Cal Poly? (Use a map to find out.),In what city and state were you born?,The last airport – outside of California – that you were in is in what city and state? ,How many miles are there on your car’s odometer? (Check your odometer.) Leave this blank if you don’t have a car.  ,How many of the 7 books in the original Harry Potter series have you read?,How many of the 8 movies in the original Harry Potter series have you watched?,"How many U.S. states, including CA, have you visited?",What month is your birthday in?,"If you had to pick just one, what would be your favorite season of the year?","If the sky could be any color you want, what color would you pick?","If grass wasn't green, which other color would you want it to be?",What are the two primary colors of your favorite sports team?,How many pets do you have? (The pets don’t have to be with you at Cal Poly.),"Among the following movie franchises, which one is your favorite?",Which one of the following would you most want to win? ,What genre of music do you like the most?,How tall are you in inches? (e.g. “72”),"If you could only eat one food for the rest of your life, what would it be?","In your opinion, who is the greatest basketball player of all time? ","Looking ahead to the next 20 years, developments in science will make the world","Think of how you would read this aloud: “Mary will marry; how merry!” Which of the following best describes your pronunciation of Mary, marry, merry. ",How many older siblings do you have?,How many younger siblings do you have?,How many minutes ago from now did you receive your last text?,"Among the following, which is your favorite social media?"
2022/09/20 12:57:01 AM MDT,DATA 301,STAT,6.5,256,"Walnut Creek, CA","Las Vegas, NV",205824,3,4,7,Jan,Fall,Orange,Purple,Orange and black,0,The Fast and the Furious,An Olympic gold medal,Hip hop/rap,70,Sushi,Michael Jordan,Better,Mary and marry sound the same; merry sounds different,1,0,25,TikTok
2022/09/20 1:20:48 AM MDT,STAT 217 Section 6 (12:10),City and Regional Planning,5,2,Los Angeles,"Istanbul, Turkey",,0,0,1,Jun,Winter,Red,Black,Blue,1,Star Wars,A Nobel Prize,Classical,72,Wiener Schnizel,Michael Jordan,Worse,All three sound the same.,0,0,600,Twitch
2022/09/20 6:54:17 AM MDT,DATA 301,CSC,6,1185,"Colorado Springs, CO","Denver, CO",76332,7,8,13,Feb,Winter,Blue,Pink,Red and Blue,0,Harry Potter,An Olympic gold medal,Trap Metal,72,White Rice,Michael Jordan,Better,Mary and marry sound the same; merry sounds different,0,3,471,Snapchat
2022/09/20 7:56:12 AM MDT,DATA 301,STAT,6,0.6,"Phoenix, AZ","Tampa, FL",2366557,7,8,10,Jul,Fall,aquamarine,purple,yellow and green,1,Marvel Cinematic Universe,A Nobel Prize,Jazz,59,grapes,John Stockton,Better,All three sound the same.,0,2,162,Snapchat
2022/09/20 9:39:38 AM MDT,STAT 217 Section 6 (12:10),COMS,7.5,35,"Randolph, Vermont","Chicago, Illinois",131000,7,8,9,Jul,Summer,pink,blue,blue/white,1,Harry Potter,A Nobel Prize,Pop/R&B,68,pasta,Giannis Antetokounpo,Worse,All three sound the same.,0,2,60,Instagram
2022/09/20 9:58:26 AM MDT,DATA 301,CSC,6,100,"Van Nuys, CA",SeaTac,240000,7,8,5,Jul,Winter,Blue,Blue,Blue & Gold,2,Star Wars,A Nobel Prize,Rock/indie,70,Rice,Kobe,Better,All three sound the same.,0,3,30,TikTok
2022/09/20 10:04:45 AM MDT,DATA 301,STAT,8,187,"San Jose, CA","Honolulu, Hawaii",180284,0,0,6,Aug,Winter,Pink,Yellow,Black and yellow,1,Marvel Cinematic Universe,An Academy Award (Oscar),Pop/R&B,69,Japanese curry ,Stephen Curry,Better,All three sound the same.,2,0,43,TikTok
2022/09/20 10:06:36 AM MDT,DATA 301,CSC,7,1.8,"Burlingame, CS","Denver, CO",400,0,0,8,Nov,Fall,blue,green,,2,Lord of the Rings,A Nobel Prize,K-Pop,60,grapes,,Worse,All three sound the same.,1,0,10,Snapchat
2022/09/20 10:07:37 AM MDT,DATA 301,CSC,6,32,"Batac, Phillipines","Fort Worth, Texas",119148,0,0,8,Sep,Fall,Rose Pink,Light Blue,Red and Gold,0,Marvel Cinematic Universe,A Nobel Prize,Pop/R&B,68,Pasta,Kobe Bryant,Better,All three sound the same.,0,2,1,Instagram
2022/09/20 10:56:35 AM MDT,DATA 301,BIO,8,197,"Mountain View, CA","Denver, CO",79,7,8,20,Jan,Spring,Pink,Blue,Black and orange,2,Harry Potter,A Nobel Prize,Pop/R&B,66,Pasta,Steph curry,About the same,All three sound the same.,0,0,6,Instagram
